87,p.mensah,9c3efbd6ee1e9dbb,Mr. Kweku Mensah,7
88,p.boateng,9c3efcd6ee1e9f6e,Mrs. Ama Boateng,8
89,p.asante,9c3ef9d6ee1e9841,Mr. Yaw Asante,9
90,p.ofori,9c3efad6ee1e9aa6,Mrs. Akua Ofori,10
91,p.tetteh,9c3ef7d6ee1e92e9,Mr. Nii Tetteh,11
92,p.adjei,9c3ef8d6ee1e9489,Mrs. Efua Adjei,12
93,p.darko,9c3ef5d6ee1e906e,Mr. Kojo Darko,13
94,p.owusu,9c3ef6d6ee1e9251,Mrs. Adwoa Owusu,14
95,p.agyeman,9c3ef3d6ee1e8d14,Mr. Fiifi Agyeman,15
96,p.appiah,9c3ef4d6ee1e8edb,Mrs. Abena Appiah,16
97,p.osei,9c3ef1d6ee1e89c8,Mr. Kwame Osei,17
98,p.asare,9c3ef2d6ee1e8baf,Mrs. Nana Asare,18
99,p.boateng2,9c3eaed6ee1e8582,Mr. Yaw Boateng,19
100,p.frimpong,9c3eafd6ee1e876f,Mrs. Akua Frimpong,20
101,p.quaye,9c3eacd6ee1e8371,Mr. Benjamin Quaye Sr,21
102,p.mensah2,9c3eadd6ee1e855e,Mrs. Esi Mensah,22
103,p.antwi,9c3eaad6ee1e8051,Mr. Kojo Antwi Sr,23
104,p.sarpong,9c3eabd6ee1e823e,Mrs. Adwoa Sarpong,24
105,p.tetteh2,9c3ea8d6ee1e7d0b,Mr. Nii Tetteh Sr,25
106,p.darko2,9c3ea9d6ee1e7ef2,Mrs. Efua Darko,26
107,p.asante2,9c3ea5d6ee1e7985,Mr. Kwesi Asante Sr,27
108,p.ofori2,9c3ea6d6ee1e7b6c,Mrs. Abena Ofori,28
109,p.agyeman2,9c3ea3d6ee1e766f,Mr. Fiifi Agyeman Sr,29
110,p.appiah2,9c3ea4d6ee1e7856,Mrs. Akosua Appiah,30
111,p.mensah3,9c3ea1d6ee1e7343,Mr. Ato Mensah Sr,31
112,p.serwaa,9c3ea2d6ee1e752a,Mrs. Maame Serwaa,32
113,p.asare2,9c3e9fd6ee1e6fd7,Mr. Kobbina Asare Sr,33
114,p.boateng3,9c3ea0d6ee1e71be,Mrs. Afia Boateng,34
115,p.frimpong2,9c3e9dd6ee1e6ac1,Mr. Kwabena Frimpong Sr,35
116,p.quaye2,9c3e9ed6ee1e6ca8,Mrs. Ama Quaye,36
117,p.osei2,9c2829d6ee006a3f,Mr. Kwame Osei Jr,37
118,p.antwi2,9c282ad6ee006c26,Mrs. Adjoa Antwi,38
119,p.sarpong2,9c2827d6ee006729,Mr. Nana Sarpong,39
120,p.tetteh3,9c2828d6ee006910,Mrs. Akua Tetteh,40
121,p.darko3,9c2825d6ee006315,Mr. Kweku Darko Sr,41
122,p.asante3,9c2826d6ee0064fc,Mrs. Aba Asante,42
123,p.mensah4,9c2823d6ee005eff,Mr. Yoofi Mensah Sr,43
124,p.ofori3,9c2824d6ee0060e6,Mrs. Adzo Ofori,44
125,p.agyeman3,9c2821d6ee005ae9,Mr. Kwabenah Agyeman Sr,45
126,p.appiah3,9c2822d6ee005cd0,Mrs. Serwaa Appiah,46
127,p.asare3,9c3e9bd6ee1e67eb,Mr. Kofi Asare Sr,47
128,p.boateng4,9c3e9cd6ee1e69d2,Mrs. Abena Boateng,48
129,p.frimpong3,9c3e99d6ee1e64bd,Mr. James Frimpong Sr,49
130,p.quaye3,9c3e9ad6ee1e66a4,Mrs. Mary Quaye,50
131,p.osei3,9c3e97d6ee1e6091,Mr. Peter Osei Sr,51
132,p.antwi3,9c3e98d6ee1e6278,Mrs. Sarah Antwi,52
133,p.sarpong3,9c3e95d6ee1e5d65,Mr. David Sarpong Sr,53
134,p.tetteh4,9c3e96d6ee1e5f4c,Mrs. Ruth Tetteh,54
135,p.darko4,9c3e93d6ee1e584f,Mr. Paul Darko Sr,55
136,p.asante4,9c3e94d6ee1e5a36,Mrs. Esther Asante,56
137,p.mensah5,9c3e91d6ee1e5523,Mr. Mark Mensah Sr,57
138,p.ofori4,9c3e92d6ee1e570a,Mrs. Lydia Ofori,58
139,p.agyeman4,9c3e8fd6ee1e501d,Mr. Stephen Agyeman Sr,59
140,p.appiah4,9c3e90d6ee1e5204,Mrs. Hannah Appiah,60
141,p.asare4,9c3e8dd6ee1e4b27,Mr. Joseph Asare Sr,61
142,p.boateng5,9c3e8ed6ee1e4d0e,Mrs. Naomi Boateng,62
143,p.frimpong4,9c3e8bd6ee1e4711,Mr. Daniel Frimpong Sr,63
144,p.quaye4,9c3e8cd6ee1e48f8,Mrs. Rebecca Quaye,64
145,p.osei4,9c3e89d6ee1e42e5,Mr. Andrew Osei Sr,65
146,p.antwi4,9c3e8ad6ee1e44cc,Mrs. Deborah Antwi,66
147,p.sarpong4,9c282fd6ee0073da,Mr. Philip Sarpong Sr,67
148,p.tetteh5,9c2830d6ee0075c1,Mrs. Judith Tetteh,68
