1,7,John Mensah,2025-03-31,,1500.000000,0.000000,0
2,8,Amina Boateng,2025-03-31,2025-03-10,1500.000000,1500.000000,1
3,9,Kwame Asante,2025-03-31,2025-03-15,1500.000000,1500.000000,1
4,10,Linda Ofori,2025-03-31,,1500.000000,500.000000,0
5,11,Eric Tetteh,2025-03-31,,1500.000000,0.000000,0
6,12,Grace Adjei,2025-03-31,2025-03-20,1500.000000,1500.000000,1
7,13,Samuel Darko,2025-04-30,,2000.000000,1000.000000,0
8,14,Abena Owusu,2025-04-30,2025-04-05,2000.000000,2000.000000,1
9,15,Kofi Agyeman,2025-04-30,,2000.000000,0.000000,0
10,16,Diana Appiah,2025-04-30,2025-04-10,2000.000000,2000.000000,1
